id,category,parent,name,questiontext,questiontextformat,generalfeedback,generalfeedbackformat,defaultmark,penalty,qtype,length,stamp,version,hidden,timecreated,timemodified,createdby,modifiedby,idnumber
1,10,0,1,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr"><strong>पढ़ें और प्रश्नों के उत्तर लिखिए।</strong></p><p dir="ltr">ग्राम पंचायत गाँव की सरकार है। सरपंच या प्रधान ग्राम पंचायत का मुखिया होता है। वह ग्राम सभा की बैठक बुलाता है। ग्राम सभा में विकास के काम तय होते हैं। सरकार पैसा देती है। इसी से विकास के काम होते हैं।</p><p dir="ltr">(क)	गाँव की सरकार कौन है?<br></p><p dir="ltr">(ख)	ग्राम पंचायत का मुखिया कौन होता है?</p><p dir="ltr">(ग)	प्रधान या सरपंच क्या करता है?</p><p dir="ltr">(घ)	विकास के काम कहाँ तय होते हैं?</p><p dir="ltr">(ड़)	विकास के लिए पैसा कौन देता है?</p><br><p></p>",1,,1,1.0000000,0.0000000,essay,1,literacynow.app+220208081959+YQ1R30,literacynow.app+220208082015+tgFFt2,0,1644308399,1644308415,2,2,NULL
2,10,0,2,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr"><strong>दिए गए अक्षरों से पाँच शब्द बनाइए।</strong></p><p dir="ltr">आ	न	ना	ई	मी	टो&nbsp;	री	क</p><p dir="ltr">फा	खे	स	ड़ा	त	ज	व</p><br><p></p>",1,,1,1.0000000,0.0000000,essay,1,literacynow.app+220208082203+L2PGby,literacynow.app+220208082203+GVABWZ,0,1644308523,1644308523,2,2,NULL
3,10,0,3,"<strong>खेती में काम आने वाले पाँच औजारों के नाम लिखिए।</strong>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208082414+sFvf7d,literacynow.app+220208082414+WFg91M,0,1644308654,1644308654,2,2,NULL
4,10,0,4,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr"><strong>नीचे दिए गए शब्दों से वाक्य बनाइए।</strong></p><p dir="ltr">मकान,&nbsp; &nbsp; &nbsp;ताकत,&nbsp; &nbsp; &nbsp; हल,&nbsp; &nbsp; &nbsp; पेड़,&nbsp; &nbsp; &nbsp; जमीन</p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208082500+nE5n5F,literacynow.app+220208082500+H4o6nO,0,1644308700,1644308700,2,2,NULL
5,10,0,5,"<p dir="ltr" style="text-align: left;"><strong>अपने किसी रिश्तेदार का नाम और पूरा पता लिखिए।</strong><br></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208082605+pAZJWF,literacynow.app+220208082605+M2rqOm,0,1644308765,1644308765,2,2,NULL
6,10,0,6,"<p dir="ltr" style="text-align: left;"><strong>किसी गीत या कविता की पाँच पंक्तियाँ लिखिए।</strong><br></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208082653+ykQRGr,literacynow.app+220208082653+KH2ADh,0,1644308813,1644308813,2,2,NULL
7,10,0,7,"<p dir="ltr" style="text-align: left;"><strong>गाँवों एवं शहरों में मनाए जाने वाले त्यौहारों के बारे में पाँच वाक्य लिखिए।</strong><br></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208082757+AJSF4S,literacynow.app+220208082757+POFVdN,0,1644308877,1644308877,2,2,NULL
8,10,0,1,"<p dir="ltr">दिये गए स्वर को पहचानिए।</p><p><strong>इ&nbsp; &nbsp; &nbsp;ऊ&nbsp; &nbsp; &nbsp;आ&nbsp; &nbsp; &nbsp;औ&nbsp; &nbsp; &nbsp;उ</strong></p><p><strong>अ&nbsp; &nbsp; ओ&nbsp; &nbsp; &nbsp;ए&nbsp; &nbsp; &nbsp; ई&nbsp; &nbsp; &nbsp; ऐ</strong></p><br>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208105606+1qb6Ac,literacynow.app+220208105606+ywA9GQ,0,1644317766,1644317766,2,2,NULL
9,10,0,2,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए व्यंजन को पहचानिए।</p><p><strong>भ&nbsp; &nbsp; &nbsp;ट&nbsp; &nbsp; &nbsp;घ&nbsp; &nbsp; &nbsp;ज्ञ&nbsp; &nbsp; &nbsp;द</strong></p><p><strong>त&nbsp; &nbsp; &nbsp;य&nbsp; &nbsp; &nbsp;प&nbsp; &nbsp; &nbsp;ब&nbsp; &nbsp; &nbsp;ह</strong></p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208105643+Oyz5U3,literacynow.app+220208105643+j3Ho71,0,1644317803,1644317803,2,2,NULL
10,10,0,3,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए बिना मात्रा वाले 2—3 अक्षर के शब्दों को पढ़ें।</p><p><strong>कह&nbsp; &nbsp; &nbsp;जल&nbsp; &nbsp; &nbsp;सच&nbsp; &nbsp; &nbsp;शहर&nbsp; &nbsp; &nbsp;नमक</strong></p><p><strong>वन&nbsp; &nbsp; &nbsp;दम&nbsp; &nbsp; &nbsp;नगर&nbsp; &nbsp; &nbsp;जत&nbsp; &nbsp; &nbsp;खटमल	</strong></p><p><br>

</p><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208105732+xVwzOE,literacynow.app+220208105732+vGIfri,0,1644317852,1644317852,2,2,NULL
11,10,0,4,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए बिना मात्रा वाले वाक्यों को पढ़ें।</p><p><strong>अमन शहर चल।&nbsp;<br>टमटम आ गई उस पर चढ़।<br>समय पर सजग रह कर पढ़।<br>आलस मत कर।<br>पढ़ कर अब सफल बन।</strong></p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208105820+R1NHPt,literacynow.app+220208105820+FbSRwe,0,1644317900,1644317900,2,2,NULL
12,10,0,5,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दी गयी मात्राओं को पढ़ें।</p><p><strong>गा&nbsp; &nbsp; &nbsp;घि&nbsp; &nbsp; &nbsp;मै&nbsp; &nbsp; &nbsp;जू&nbsp; &nbsp; &nbsp;छु</strong></p><p><strong>चौ&nbsp; &nbsp; &nbsp;टो&nbsp; &nbsp; &nbsp;ची&nbsp; &nbsp; &nbsp;झं&nbsp; &nbsp; &nbsp;भे</strong></p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208105901+ssHbFa,literacynow.app+220208105901+Qf72Vb,0,1644317941,1644317941,2,2,NULL
13,10,0,6,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए मात्रा वाले 2 अक्षर के शब्दों को पढ़ें।</p><p><strong>ताला&nbsp; &nbsp; &nbsp;खेत&nbsp; &nbsp; &nbsp;लिख&nbsp; &nbsp; &nbsp;सैर&nbsp; &nbsp; &nbsp;दीप</strong></p><p><strong>कोट&nbsp; &nbsp; &nbsp; दूर&nbsp; &nbsp; &nbsp; झंडा&nbsp; &nbsp; &nbsp;तुम&nbsp; &nbsp; &nbsp;कौन</strong></p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208105952+mTV9fY,literacynow.app+220208105952+CiNxyg,0,1644317992,1644317992,2,2,NULL
14,10,0,7,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए मात्रा वाले 3 अक्षर के शब्दों को पढ़ें।</p><p><strong>करेला&nbsp; &nbsp; &nbsp;निकाल&nbsp; &nbsp; &nbsp;असली&nbsp; &nbsp; &nbsp;मौसम&nbsp; &nbsp; &nbsp;तालाब</strong></p><p><strong>साबुन&nbsp; &nbsp; &nbsp; मैदान&nbsp; &nbsp; &nbsp; पूजन&nbsp; &nbsp; &nbsp;मंजन&nbsp; &nbsp; &nbsp; सोहन</strong></p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208110037+JM5FRg,literacynow.app+220208110037+hlBR3O,0,1644318037,1644318037,2,2,NULL
15,10,0,8,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए मात्रा वाले वाक्यों को पढ़ें।</p><p><strong>हमें दूसरों पर दया करनी चाहिए।<br>परमात्मा ने हमें अच्छे कामों के लिए बनाया है।<br>बहुमूल्य समय बरबाद नहीं करना चाहिए।</strong></p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220208110122+NKLHze,literacynow.app+220208110122+vwZIbK,0,1644318082,1644318082,2,2,NULL
16,20,0,1,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए स्वर को पहचानिए।</p><p><strong>इ&nbsp; &nbsp; &nbsp;ऊ&nbsp; &nbsp; &nbsp;आ&nbsp; &nbsp; &nbsp;औ&nbsp; &nbsp; &nbsp;उ</strong></p><p><strong>अ&nbsp; &nbsp; ओ&nbsp; &nbsp; &nbsp;ए&nbsp; &nbsp; &nbsp; ई&nbsp; &nbsp; &nbsp; ऐ</strong></p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215113607+HmAOQ7,literacynow.app+220215113627+3ifzNO,0,1644924967,1644924987,2,2,NULL
17,20,0,2,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए व्यंजन को पहचानिए।</p><p><strong>भ&nbsp; &nbsp; &nbsp;ट&nbsp; &nbsp; &nbsp;घ&nbsp; &nbsp; &nbsp;ज्ञ&nbsp; &nbsp; &nbsp;द</strong></p><p><strong>त&nbsp; &nbsp; &nbsp;य&nbsp; &nbsp; &nbsp;प&nbsp; &nbsp; &nbsp;ब&nbsp; &nbsp; &nbsp;ह</strong></p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215113740+iIviuP,literacynow.app+220215113740+duB0a4,0,1644925060,1644925060,2,2,NULL
18,20,0,3,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए बिना मात्रा वाले 2—3 अक्षर के शब्दों को पढ़ें।</p><p><strong>कह&nbsp; &nbsp; &nbsp;जल&nbsp; &nbsp; &nbsp;सच&nbsp; &nbsp; &nbsp;शहर&nbsp; &nbsp; &nbsp;नमक</strong></p><p><strong>वन&nbsp; &nbsp; &nbsp;दम&nbsp; &nbsp; &nbsp;नगर&nbsp; &nbsp; &nbsp;जत&nbsp; &nbsp; &nbsp;खटमल	</strong></p><p><br>

</p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215113823+4VGKwI,literacynow.app+220215113823+R1PsQE,0,1644925103,1644925103,2,2,NULL
19,20,0,4,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए बिना मात्रा वाले वाक्यों को पढ़ें।</p><p><strong>अमन शहर चल।&nbsp;<br>टमटम आ गई उस पर चढ़।<br>समय पर सजग रह कर पढ़।<br>आलस मत कर।<br>पढ़ कर अब सफल बन।</strong></p><p><br>

</p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215113907+IbDfmi,literacynow.app+220215113907+JLuwG7,0,1644925147,1644925147,2,2,NULL
20,20,0,5,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दी गयी मात्राओं को पढ़ें।</p><p><strong>गा&nbsp; &nbsp; &nbsp;घि&nbsp; &nbsp; &nbsp;मै&nbsp; &nbsp; &nbsp;जू&nbsp; &nbsp; &nbsp;छु</strong></p><p><strong>चौ&nbsp; &nbsp; &nbsp;टो&nbsp; &nbsp; &nbsp;ची&nbsp; &nbsp; &nbsp;झं&nbsp; &nbsp; &nbsp;भे</strong></p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215114207+C5YmZa,literacynow.app+220215114207+Ubb4kr,0,1644925327,1644925327,2,2,NULL
21,20,0,6,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए मात्रा वाले 2 अक्षर के शब्दों को पढ़ें।</p><p><strong>ताला&nbsp; &nbsp; &nbsp;खेत&nbsp; &nbsp; &nbsp;लिख&nbsp; &nbsp; &nbsp;सैर&nbsp; &nbsp; &nbsp;दीप</strong></p><p><strong>कोट&nbsp; &nbsp; &nbsp; दूर&nbsp; &nbsp; &nbsp; झंडा&nbsp; &nbsp; &nbsp;तुम&nbsp; &nbsp; &nbsp;कौन</strong></p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215114249+7R7qCm,literacynow.app+220215114249+sFAaCf,0,1644925369,1644925369,2,2,NULL
22,20,0,7,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए मात्रा वाले 3 अक्षर के शब्दों को पढ़ें।</p><p><strong>करेला&nbsp; &nbsp; &nbsp;निकाल&nbsp; &nbsp; &nbsp;असली&nbsp; &nbsp; &nbsp;मौसम&nbsp; &nbsp; &nbsp;तालाब</strong></p><p><strong>साबुन&nbsp; &nbsp; &nbsp; मैदान&nbsp; &nbsp; &nbsp; पूजन&nbsp; &nbsp; &nbsp;मंजन&nbsp; &nbsp; &nbsp; सोहन</strong></p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215114336+nEGtrL,literacynow.app+220215114336+xXYRvH,0,1644925416,1644925416,2,2,NULL
23,20,0,8,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr">दिये गए मात्रा वाले वाक्यों को पढ़ें।</p><p><strong>हमें दूसरों पर दया करनी चाहिए।<br>परमात्मा ने हमें अच्छे कामों के लिए बनाया है।<br>बहुमूल्य समय बरबाद नहीं करना चाहिए।</strong></p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215114431+Q8sHpL,literacynow.app+220215114431+TDaqvG,0,1644925471,1644925471,2,2,NULL
24,30,0,1,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr"><strong>पढ़ें और प्रश्नों के उत्तर लिखिए।</strong></p><p dir="ltr"><span>ग्राम पंचायत गाँव की सरकार है। सरपंच या प्रधान ग्राम पंचायत का मुखिया होता है। वह ग्राम सभा की बैठक बुलाता है। ग्राम सभा में विकास के काम तय होते हैं। सरकार पैसा देती है। इसी से विकास के काम होते हैं।</span></p><p dir="ltr">(क)	गाँव की सरकार कौन है?<br></p><p dir="ltr">(ख)	ग्राम पंचायत का मुखिया कौन होता है?</p><p dir="ltr">(ग)	प्रधान या सरपंच क्या करता है?</p><p dir="ltr">(घ)	विकास के काम कहाँ तय होते हैं?</p><p dir="ltr">(ड़)	विकास के लिए पैसा कौन देता है?</p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215115102+QgVHce,literacynow.app+220215115102+6A5gbi,0,1644925862,1644925862,2,2,NULL
25,30,0,2,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr"><strong>दिए गए अक्षरों से पाँच शब्द बनाइए।</strong></p><p dir="ltr">आ	न	ना	ई	मी	टो&nbsp;	री	क</p><p dir="ltr">फा	खे	स	ड़ा	त	ज	व</p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215115616+3sY4t8,literacynow.app+220215115616+KGWel5,0,1644926176,1644926176,2,2,NULL
26,30,0,3,"<p dir="ltr" style="text-align: left;"><strong>खेती में काम आने वाले पाँच औजारों के नाम लिखिए।</strong><br></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215115651+7aPEmQ,literacynow.app+220215115651+txbYgK,0,1644926211,1644926211,2,2,NULL
27,30,0,4,"<p dir="ltr" style="text-align: left;"></p><p dir="ltr"><strong>नीचे दिए गए शब्दों से वाक्य बनाइए।</strong></p><p dir="ltr">मकान,&nbsp; &nbsp; &nbsp;ताकत,&nbsp; &nbsp; &nbsp; हल,&nbsp; &nbsp; &nbsp; पेड़,&nbsp; &nbsp; &nbsp; जमीन</p><br><p></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215115732+z7PnH6,literacynow.app+220215115732+PXuhdP,0,1644926252,1644926252,2,2,NULL
28,30,0,5,"<p dir="ltr" style="text-align: left;"><strong>अपने किसी रिश्तेदार का नाम और पूरा पता लिखिए।</strong><br></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215115822+HicvvC,literacynow.app+220215115822+g1biFF,0,1644926302,1644926302,2,2,NULL
29,30,0,6,"<p dir="ltr" style="text-align: left;"><strong>किसी गीत या कविता की पाँच पंक्तियाँ लिखिए।</strong><br></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215115858+2HwLhg,literacynow.app+220215115858+QjMaqX,0,1644926338,1644926338,2,2,NULL
30,30,0,7,"<p dir="ltr" style="text-align: left;"><strong>गाँवों एवं शहरों में मनाए जाने वाले त्यौहारों के बारे में पाँच वाक्य लिखिए।</strong><br></p>",1,,1,10.0000000,0.0000000,essay,1,literacynow.app+220215120001+nJHUPd,literacynow.app+220215120001+ksaJvg,0,1644926401,1644926401,2,2,NULL
31,30,0,test,"<p dir="ltr" style="text-align: left;">what is your name?</p>",1,,1,1.0000000,0.3333333,multichoice,1,literacynow.app+220707062740+96GK1k,literacynow.app+220707062740+CTXLXW,0,1657175260,1657175260,2,2,NULL
32,38,0,"drag img","<p dir="ltr" style="text-align: left;">testing</p>",1,,1,1.0000000,0.3333333,ddimageortext,1,literacynow.app+220708065044+jHLrgr,literacynow.app+220708065044+llgHeE,0,1657263044,1657263044,2,2,NULL
33,30,0,"drag img","<p dir="ltr" style="text-align: left;">drag img<br></p>",1,,1,1.0000000,0.3333333,ddimageortext,1,literacynow.app+220708065543+81zXNp,literacynow.app+220708065915+G4eliq,0,1657263343,1657263555,2,2,NULL
